iter	Passed	Remaining
892	9005	1079
893	9014	1068
894	9023	1058
895	9032	1048
896	9041	1038
897	9051	1028
898	9060	1017
899	9070	1007
900	9080	997
901	9090	987
902	9100	977
903	9111	967
904	9122	957
905	9134	947
906	9146	937
907	9163	928
908	9179	918
909	9193	909
910	9207	899
911	9219	889
912	9230	879
913	9241	869
914	9253	859
915	9263	849
916	9274	839
917	9285	829
918	9296	819
919	9306	809
920	9320	799
921	9330	789
922	9340	779
923	9350	769
924	9360	758
925	9370	748
926	9380	738
927	9390	728
928	9401	718
929	9411	708
930	9421	698
931	9430	688
932	9441	678
933	9452	667
934	9462	657
935	9473	647
936	9484	637
937	9494	627
938	9503	617
939	9513	607
940	9522	597
941	9531	586
942	9540	576
943	9549	566
944	9561	556
945	9570	546
946	9579	536
947	9589	525
948	9598	515
949	9608	505
950	9617	495
951	9626	485
952	9636	475
953	9645	465
954	9657	455
955	9668	444
956	9678	434
957	9687	424
958	9696	414
959	9706	404
960	9715	394
961	9724	384
962	9735	374
963	9744	363
964	9754	353
965	9763	343
966	9772	333
967	9782	323
968	9794	313
969	9803	303
970	9813	293
971	9822	282
972	9831	272
973	9841	262
974	9851	252
975	9871	242
976	9886	232
977	9899	222
978	9911	212
979	9923	202
980	9933	192
981	9943	182
982	9955	172
983	9965	162
984	9975	151
985	9984	141
986	9993	131
987	10002	121
988	10018	111
989	10097	101
990	10128	91
991	10142	81
992	10168	71
993	10196	61
994	10210	51
995	10225	41
996	10240	30
997	10254	20
998	10268	10
999	10292	0
